(gd0.9sc0.1)2zr2o7	1
-	69
accumulative roll bonding	2
accumulative roll bounding	1
al alloy	1
al1050	1
al18b4o33 whisker reinforced almgsi matrix composite	1
alumina	1
aluminum	1
aluminum alloy	1
aluminum alloys	2
aminobenzoic acid	1
amorphous materials	1
anova	2
arb	1
arpes	1
atomic scale structure	1
austenitic stainless steel	1
az31	1
ba2realo5	2
baln2ti3o10	1
band gap	1
banded structure	1
bifeo3	1
bonding	1
born effective charges	1
calcium-magnesium-alumina-silicate (cmas)	1
cast-iron	1
ceo2 nanoparticle	2
ceramics	1
chalcogenides	1
characterization	2
chemical bonding	1
chemical ordering	1
chemical synthesis	1
chiral media	2
chirality	1
chiroptical properties	1
chloride ion	1
circular dichroism	3
cnt	2
coatings	1
cold rolling	1
composite	2
composite powders	1
composites	3
conductive-afm	1
copper	1
copper alloy	1
corrosion behavior	1
corrosion resistance	4
crystal growth	1
crystal plasticity model	1
crystal structure	1
crystallization	1
crystallographic texture	2
crystals/crystallization	1
cu-cr-zr alloy	1
cuprates	1
decoration	1
defect model	1
defects	2
deformation	1
deformation by drawing	1
density-functional perturbation theory	1
diazonium salt	3
dielectric properties	1
diffraction	1
digital image correlation	1
digital image correlation measurement	1
dilution refrigerator	1
dimensional spin chains	1
directional solidification	1
dislocation density	1
dissolution	1
dmd	1
dopant	1
dose	1
dose-rate temperature	1
double perovskite	1
dsc	2
ductility	2
duplex stainless steel	4
dynamic recrystallization	1
ebsd	10
ecap	1
elastic constants	1
electrical properties	1
electrical resistivity	1
electrochemical grafting	3
electrochemical impedance spectroscopy	1
electrodeposition	3
electrolyte	1
electrolytic deposition	1
electron back scattered diffraction	1
electron paramagnetic resonance	2
electronic properties	1
energy filtered tem	1
epitaxial film	1
face centered cubic ti	1
fe-27%co alloy	1
femtosecond laser processing	3
fermi surface	1
fiber materials	1
fiber preform	1
fictive temperature	1
finite element model	1
finite element modelling	1
finite size-effect	1
finite-size effect	2
first-principles	1
first‐principles	1
floating zone technique	1
fluorine-doped tin oxide (fto)	1
fourier transform infrared spectroscopy	1
fracture	1
friction	1
frustrated magnetism	1
gate dielectric material	2
geo2	1
glass	1
glass mold	1
glass–ceramics	1
grain boundaries	1
grain refinement	1
graphene	1
groove pressing	1
growth mechanism	1
growth stress	1
hardening	1
hardness	1
hardness map	1
haz	1
heat accumulation	1
heat conduction	1
heat treatments	1
heavily drawn wire	1
high angle grain boundary	1
high pressure	1
high repetition rate	1
high resolution tem	1
high-pressure torsion	3
hipims	1
hole-transport materials	1
holon	2
hot corrosion	5
htrem	1
hybrid material	2
if steel	1
immiscible elements	1
impurities	1
in-situ heating	1
in-situ x-ray diffraction	1
incorporation behavior	1
inelastic neutron scattering	1
infrared femtosecond laser	1
insulating character	2
insulators	1
integrated-circuit (ic) industry	1
integrated‐circuit (ic) industry	1
interface structure	1
internal stress	1
ionic conductivity	1
